,id,owner,created,isOrgItem,modified,guid,name,title,type,typeKeywords,description,tags,snippet,thumbnail,documentation,extent,categories,spatialReference,accessInformation,classification,licenseInfo,culture,properties,advancedSettings,url,proxyFilter,access,subInfo,appCategories,industries,languages,largeThumbnail,banner,screenshots,listed,ownerFolder,protected,numComments,numRatings,avgRating,numViews,contentStatus,orgId,scoreCompleteness,groupDesignations,apiToken1ExpirationDate,apiToken2ExpirationDate,contentOrigin,lastViewed,layers,tables,size,commentsEnabled,itemControl,sourceUrl,serviceProxyParams
0,b7f3c99dc1df4f0bb40d2e230da205f4,esri_oceans,1629999775000,True,1719452002000,,Latest_Shipboard_Observations,Latest Shipboard Observations,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Service', 'Singlelayer', 'Hosted Service', 'View Service']","<div>Shipboard sensors provide meteorological and oceanographic measurements for the marine environment.  This information is made available through the National Data Buoy Center (NDBC) and this layer pulls updates direct from the NDBC hourly (at the top of the hour).  The most recent observation data is made available for each of the reporting ships.  This layer is time enabled, allowing access to recent historical observation data.</div><div><br /></div><div>More info: <a href='https://www.ndbc.noaa.gov/' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.ndbc.noaa.gov/</a></div>","['NOAA', 'NDBC', 'Observations', 'Ocean', 'oceans', 'weather', 'esri_environment', 'esri_oceans', 'environment', 'hosted']",Latest Shipboard Observations from the National Data Buoy Center (NDBC).,thumbnail/thumbnail1718980966138.png,,"[[-179, -53.1], [179.4, 75.49999999999999]]",[],102100,NOAA,,<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' /> This work is licensed under the Esri Master License Agreement.<br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/Latest_Shipboard_Observations/FeatureServer,,public,0,[],[],[],,,[],False,60128078615348d48b8759e31188e18b,True,0,1,3.75,138923,public_authoritative,P3ePLMYs2RVChkJx,98,livingatlas,-1,-1,self,1723471200000,"[<FeatureLayer url:""https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/Latest_Shipboard_Observations/FeatureServer/0"">]",[],0.0,True,admin,,
1,f3106ed31c0a49d39121cc92c0db69d2,esri_oceans,1629999634000,True,1719976060000,,,ship_obs,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Service', 'Singlelayer', 'Hosted Service']","<b><font color='#b22222'>Important:</font><font color='#8b0000'> </font></b><font color='#8b0000'> </font>This hosted feature layer supports the following layers/maps, DO NOT DELETE!:<br /><ul><li><a href='https://www.arcgis.com/home/item.html?id=b7f3c99dc1df4f0bb40d2e230da205f4' target='_blank' rel='nofollow ugc noopener noreferrer'>Latest Shipboard Observations</a><br /></li></ul>","['NOAA', 'NDBC', 'Observations', 'Ocean', 'oceans', 'weather']",This item is not shared but has dependent layers (views) that are shared with the public and may be part of the Living Atlas. Current ship observations from NOAA,thumbnail/thumbnail1656352519746.png,,"[[-179.9, -48.39999999999999], [179.5, 80]]",[],102100,,,This item is <b>not shared</b> but <b>has dependent layers (views) that are shared with the public</b> and may be part of the Living Atlas.,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/ship_obs/FeatureServer,,private,0,[],[],[],,,[],False,60128078615348d48b8759e31188e18b,False,0,0,0.0,133425,,,93,,-1,-1,self,1719975600000,,,,,,,
2,e221cbaf69d140a88aeaaaf9a5541952,esri_oceans,1628190597000,True,1641168721000,,Plate_Boundaries,Plate Boundaries,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Multilayer', 'Service', 'Hosted Service', 'View Service']","<div><span style='text-align:justify;'><font color='#000000' face='Arial, Helvetica, sans-serif, normal'><span style='font-size:14px;'>The surface of the Earth is broken up into large plates.  There are seven major plates: North America, South America, Eurasia, Africa, India, the Pacific, and Antarctica.  There are also numerous microplates.  The number and shapes of the plates change over geologic time.  Plates are divided by boundaries that are seismically active.  The different plate boundaries can be described by the type of motion that is occurring between the plates at specific locations.  </span></font></span></div><div style='text-align:center;'><img alt='Mid-Atlantic Ridge' src='https://i.imgur.com/y75ctBQ.jpg' /></div><div><span style='text-align:justify;'><font color='#000000' face='Arial, Helvetica, sans-serif, normal'><span style='font-size:14px;'>Ocean basins contain spreading ridges where the youngest portions of the seafloor are found.  At the spreading ridges magma is released as it pushes up from the mantle and new oceanic crust is formed.  At subduction zone boundaries plates are moving toward each other, with one plate subducting or moving beneath the other.  When this occurs the crust is pushed into the mantle where it is recycled into magma.</span></font></span></div><div style='text-align:center;'><img alt='Subduction Zone' src='https://imgur.com/doH9bW4.jpg' /></div><div><span style='text-align:justify;'><font color='#000000' face='Arial, Helvetica, sans-serif, normal'><span style='font-size:14px;'><div><span style='text-align:justify;'><font color='#000000' face='Arial, Helvetica, sans-serif, normal'><span style='font-size:14px;'>Data accessed from here: </span></font></span><font face='Avenir Next, Avenir, Helvetica Neue, Helvetica, Arial, sans-serif'><span style='font-size:15px;'>https://www-udc.ig.utexas.edu/external/plates/data.htm</span></font></div></span></font></span></div>","['Plates', 'Plate Boundary', 'Geophysics', 'esri_oceans', 'esri_environment', 'environment', 'oceans', 'hosted']",Present-day Plate Boundaries,thumbnail/thumbnail1635867867460.png,,"[[-179.94010000000003, -65.6182], [179.935, 87.0169]]",[],102100,"Coffin, M.F., Gahagan, L.M., and Lawver, L.A., 1998, Present-day Plate Boundary Digital Data Compilation. University of Texas Institute for Geophysics Technical Report No. 174, pp. 5.",,<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' /> This work is licensed under the Esri Master License Agreement.<br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/Plate_Boundaries/FeatureServer,,public,0,[],[],[],,,[],False,fa928890f66a42dda85c7fb495128957,True,0,0,0.0,132269,,,88,livingatlas,-1,-1,self,1723467600000,,,,,,,
3,2fd0b823d3884bebb7e7ad6d4ce7d3ca,esri_oceans,1629998865000,True,1719975755000,,,latest_obs,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Service', 'Singlelayer', 'Hosted Service']","<b><font color='#b22222'>Important:</font><font color='#8b0000'> </font></b><font color='#8b0000'> </font>This hosted feature layer supports the following layers/maps, DO NOT DELETE!:<br /><ul><li><a href='https://www.arcgis.com/home/item.html?id=decbc06b7a094fd2a24ae0dc80d51c81' target='_blank' rel='nofollow ugc noopener noreferrer'>Latest Station Observations</a></li></ul>","['NOAA', 'NDBC', 'Observations', 'oceans']",Latest observations from NOAA Buoys updated hourly.,thumbnail/thumbnail1656352531663.png,,"[[-177.468, -21.999999999999993], [179.76400000000004, 71.315]]",[],102100,,,This item is <b>not shared</b> but <b>has dependent layers (views) that are shared with the public</b> and may be part of the Living Atlas.,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/latest_obs/FeatureServer,,private,0,[],[],[],,,[],False,60128078615348d48b8759e31188e18b,False,0,0,0.0,108253,,,88,,-1,-1,self,1719975600000,,,,,,,
4,abe992e9339146c8aecedd12910651a8,esri_oceans,1449509844000,True,1573098893000,,,World Exclusive Economic Zone Boundaries,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Multilayer', 'Service', 'Service Proxy']","<p style='margin-top:12.0pt; margin-right:0in; margin-bottom:12.0pt; margin-left:0in; background:white;'><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:darkslategray;'>An exclusive
economic zone (EEZ) is a sea zone prescribed by the</span><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:black;'> </span><a href='https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea' target='_blank'>United Nations Convention on theLaw of the Sea</a><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:black;'> </span><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:darkslategray;'>over which a</span><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:black;'> </span><a href='https://en.wikipedia.org/wiki/Sovereign_state' target='_blank'>sovereign state</a><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:black;'> </span><span style='font-size:10.5pt; font-family:&quot;Lucida Sans Unicode&quot;,sans-serif; color:darkslategray;'>has special rights over the exploration and use of
marine resources, including energy production from water and wind.
This maritime boundary is designed to be used with other marine boundaries in
order to help determine areas of trade, commerce and transportation.</span></p><p style='margin-top:12.0pt; margin-right:0in; margin-bottom:12.0pt; margin-left:0in; background:white;'><span style='color:rgb(77, 77, 77);'>This layer is part of
a larger collection of </span><a href='https://www.arcgis.com/home/group.html?owner=esri_oceans&amp;title=Oceans%20Layers' target='_blank'>oceans layers</a><span style='color:rgb(77, 77, 77);'> that
you can use to perform a wide variety of mapping and analysis tasks.</span></p><p style='margin-top:12.0pt; margin-right:0in; margin-bottom:12.0pt; margin-left:0in; background:white;'><span style='color:rgb(77, 77, 77);'>To learn more see
the </span><a href='https://www.arcgis.com/home/item.html?id=9c707fa7131b4462a08b8bf2e06bf4ad' target='_blank'>World Exclusive Economic ZoneBoundaries layer</a><span style='color:rgb(77, 77, 77);'> in the </span><a href='https://www.arcgis.com/home/group.html?owner=esri_oceans&amp;title=Oceans%20Layers' target='_blank'>oceans layers group</a><span style='color:rgb(77, 77, 77);'>.</span></p>","['esri_oceans', 'esri_marine', 'oceans1']","World Exclusive Economic Zone Boundaries, up to end of 2014.",thumbnail/ago_downloaded.png,,"[[-180, -85.4703], [180, 87.0239]]",[],102100,"Source: VLIZ, NOAA",,,en-us,,,https://utility.arcgis.com/usrsvcs/servers/abe992e9339146c8aecedd12910651a8/rest/services/World_Exclusive_Economic_Zone_Boundaries/FeatureServer,,public,0,[],[],[],,,[],False,69efb1b76eef456ea4893966f661d89b,True,0,0,0.0,101607,,,83,,-1,-1,self,1723435200000,,,,,,https://utility.arcgis.com/usrsvcs/servers/abe992e9339146c8aecedd12910651a8/rest/services/World_Exclusive_Economic_Zone_Boundaries/FeatureServer,
5,decbc06b7a094fd2a24ae0dc80d51c81,esri_oceans,1629999035000,True,1719451972000,,Latest_Station_Observations,National Data Buoy Center Station Observations,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Service', 'Singlelayer', 'Hosted Service', 'View Service']","Buoys provide meteorological and oceanographic measurements for the marine environment.  This information is made available through the National Data Buoy Center (NDBC) and this layer pulls updates direct from the NDBC hourly (at the top of the hour).  The most recent observation data is made available for each of the stations.<div><br /></div><div>More info: <a href='https://www.ndbc.noaa.gov/' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.ndbc.noaa.gov/</a></div><div><br /></div><div>Thirteen variables are available in this feed, including:</div><div><ul><li>Wind speed, gust, and direction</li><li>Sea state</li><li>Air and water temperature</li><li>Dep point</li><li>Visibility</li><li>Pressure</li></ul></div>","['NOAA', 'NDBC', 'Observations', 'oceans', 'esri_environment', 'esri_oceans', 'environment', 'hosted']",Latest station observations from National Data Buoy Center (NDBC),thumbnail/thumbnail1668529358588.png,,"[[-177.36100000000002, -21.999999999999993], [167.734, 70.39999999999999]]",[],102100,NOAA,,<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' /> This work is licensed under the Esri Master License Agreement.<br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/Latest_Station_Observations/FeatureServer,,public,0,[],[],[],,,[],False,60128078615348d48b8759e31188e18b,True,0,1,3.75,80362,public_authoritative,P3ePLMYs2RVChkJx,96,livingatlas,-1,-1,self,1723467600000,,,,,,,
6,2248bab5ce984a2c87a1040624e10113,esri_oceans,1629997977000,True,1719975747000,,latest_obs.csv,latest_obs,CSV,['CSV'],,"['NOAA', 'NDBC', 'Observations', 'oceans']",Latest observations from NOAA Buoys updated hourly.,,,[],[],,,,,en-us,,,,,private,0,[],[],[],,,[],False,60128078615348d48b8759e31188e18b,False,0,0,0.0,75100,,,45,,-1,-1,self,1719975600000,,,,,,,
7,b6408ebec2fd43c2b8fbe1c014883012,esri_oceans,1566599468000,True,1576121280000,,World_Exclusive_Economic_Zone_Boundaries,World Exclusive Economic Zone Boundaries,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Multilayer', 'Requires Subscription', 'Service', 'Hosted Service', 'View Service']","<div>An exclusive economic zone (EEZ) is a sea zone prescribed by the <a href='https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea' rel='nofollow ugc' target='_blank'>United Nations Convention on the Law of the Sea </a>over which a <a href='https://en.wikipedia.org/wiki/Sovereign_state' rel='nofollow ugc' target='_blank'>sovereign state</a> has special rights over the exploration and use of marine resources, including energy production from water and wind. This maritime boundary is designed to be used with other marine boundaries in order to help determine areas of trade, commerce and transportation. </div><div><br /></div><div>The 200 NM zone is measured country-by-country from the <a href='https://en.wikipedia.org/wiki/Baseline_%28sea%29' rel='nofollow ugc' target='_blank'>baseline</a> maritime boundary (usually, but not in all cases, the mean low-water mark used is not the same thing as the coast line). For each country, we've obtained the official list of the baseline points from the <a href='https://www.un.org/depts/los/LEGISLATIONANDTREATIES/' rel='nofollow ugc' target='_blank'>United Nations</a> under <a href='https://www.un.org/depts/los/LEGISLATIONANDTREATIES/regionslist.htm' rel='nofollow ugc' target='_blank'>Maritime Space</a>.</div><div><br /></div><div>The exclusive economic zone stretches much farther into sea than the <a href='https://en.wikipedia.org/wiki/Territorial_waters' rel='nofollow ugc' target='_blank'>territorial waters</a>, which end at 12 NM (22 km) from the <a href='https://www.gc.noaa.gov/gcil_maritime.html#base' rel='nofollow ugc' target='_blank'>coastal baseline</a> (if following the rules set out in the UN Convention on the Law of the Sea). Thus, the EEZ includes the <a href='https://www.gc.noaa.gov/gcil_maritime.html#contiguous' rel='nofollow ugc' target='_blank'>contiguous zone</a>. States also have rights to the seabed of what is called the continental shelf up to 350 NM (648 km) from the coastal baseline, beyond the EEZ, but such areas are not part of their EEZ. The legal definition of the <a href='https://en.wikipedia.org/wiki/Continental_shelf' rel='nofollow ugc' target='_blank'>continental shelf </a>does not directly correspond to the geological meaning of the term, as it also includes the <a href='https://en.wikipedia.org/wiki/Continental_rise' rel='nofollow ugc' target='_blank'>continental rise</a> and slope, and the entire seabed within the EEZ. The chart below diagrams the overlapping jurisdictions which are part of the EEZ.  </div><div><br /></div><div><img alt='EEZ Chart' src='https://farm8.staticflickr.com/7575/15832131945_c249e825e1_c.jpg' /><br /></div><div><br /></div><div><div>When the (EEZ) boundary is between countries which are separated by less than 200NM is settled by international tribunals at any arbitrary line. Many countries are still in the process of extending their EEZs beyond 200NM using criteria defined in the <a href='https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea' rel='nofollow ugc' target='_blank'>United Nations Convention on the Law of the Sea</a>. </div><div><br /></div><div>Dataset Summary </div><div><br /></div><div>The data for this layer were obtained from <a href='https://www.marineregions.org/' rel='nofollow ugc' target='_blank'>https://www.marineregions.org/</a>. </div><div><br /></div><div><a href='https://marinecadastre.gov/' rel='nofollow ugc' target='_blank'>Link to source metadata.</a><br /></div></div><div><br /></div><div><div><b>Preferred Citation:</b> VLIZ (2014). Maritime Boundaries Geodatabase, version 8. Available online at http://www.marineregions.org/. Consulted on 2015-03-28.</div><div><br /></div><div>These limits and boundaries were created for NOAA's internal purposes only to update the charted maritime limits and maritime boundaries on NOAA charts. These limits and boundaries do not represent the official depiction. For official depiction, please see NOAA's paper or raster nautical charts (Sourced from NOAA_Version 4.1, 9/10/2013). Also, this map service contains data from NOAA and BOEM sources and the VLIZ (2014) Maritime Boundaries Geodatabase, version 8. Available online at Marineregions.org. Consulted on 2014-12-02.</div><div><font size='3'><br /></font></div><div><font size='3'>What can you do with this layer?</font></div></div><div><br /></div><div><div>Within its EEZ, a coastal country has: (a) sovereign rights for the purpose of exploring, exploiting, conserving and managing natural resources, whether living or nonliving, of the seabed and subsoil and the <a href='https://en.wikipedia.org/wiki/Convention_on_the_Continental_Shelf' rel='nofollow ugc' target='_blank'>superjacent </a>waters and with regard to other activities for the economic exploitation and exploration of the zone, such as the production of energy from the water, currents and winds; (b) jurisdiction as provided for in international law with regard to the establishment and use of artificial islands, installations, and structures, marine scientific research, and the protection and preservation of the marine environment, and (c) other rights and duties provided for under international law.</div><div><br /></div><div>The features in this layer can be used for showing areas and limits of sovereignty, revenue sharing, for siting a renewable energy project, for commerce routes, and for vessel transportation tracking within ArcGIS Desktop and ArcGIS Online. An example application of the layers is listed below, from the <a href='https://marinecadastre.gov/' rel='nofollow ugc' target='_blank'>Marine Cadastre</a> site. If, by example, a renewable energy project is located within state waters, the rules of leasing for that particular state will apply (and therefore vary by state), and no revenues will go to the federal government.</div><div><br /></div><div>If any portion of the project location falls within the federal 8(g) zone, then 27 percent of the revenues collected by the federal government will be shared with those states whose coastlines are within 15 miles of the geographic center of the project area. If the shoreline of more than one state is within 15 miles of the geographic center of the project, all the states will share the revenue payments in proportion to the inverse distance of the nearest points of their respective coastlines to the geographic center of the project. See more on this topic at  <a href='https://www.govinfo.gov/content/pkg/USCODE-2010-title43/html/USCODE-2010-title43-chap29-subchapIII.htm' rel='nofollow ugc' target='_blank'>U.S.C.</a> and <a href='https://www.govinfo.gov/app/collection/cfr/' rel='nofollow ugc' target='_blank'>C.F.R.</a>  If the location is entirely in federal waters seaward of the 8(g) zone, no collected revenues will go to the state(s).</div><div><br /></div><div>This layer is a feature service, which means it can be used for visualization and analysis throughout the ArcGIS Platform. This layer is not editable. </div></div>","['esri_oceans', 'esri_marine', 'oceans', 'energy', 'oceans1', 'boundaries', 'esri_environment', 'environment', 'hosted', 'hosted view']","World Exclusive Economic Zone Boundaries used to help determine areas of trade, commerce and transportation. ",thumbnail/thumbnail1571201306224.jpeg,,"[[-179.9999885408441, -85.56249999977484], [179.9999885408441, 86.9940053503737]]",[],,"Source: VLIZ, NOAA",,"<img alt='' src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width: 100%; height: auto; font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;' /><span style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;'>This work is licensed under the Esri Master License Agreement. </span><br /><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank'><b>View Terms of Use</b></a> </div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;'><span style='line-height: 16.05px;'><br /></span></div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;'><font color='#b22222'>Important Note:</font> This item requires an ArcGIS Online organizational subscription or an ArcGIS Developer account and does not consume credits. To access this item, you'll need to do one of the following: </div><div style='font-family: &quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size: 16px;'><ul><li>Sign in with an account that is a member of an organizational subscription </li><li>Sign in with a developer account </li><li><a href='https://goto.arcgis.com/termsofuse/registeranapplication' style='color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank'>Register an application</a> and use your application's credentials.</li></ul>If you don't have an account, you can sign up for a <a href='https://goto.arcgis.com/features/trial' style='color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank'>free trial of ArcGIS</a> or a <a href='https://goto.arcgis.com/developers/signup' style='color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank'>free ArcGIS Developer account</a>.</div>",en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/World_Exclusive_Economic_Zone_Boundaries/FeatureServer,,public,0,[],[],[],,,[],False,d16a0b80d7504e1da68e035c3975fc1b,True,0,0,0.0,61798,,,100,,-1,-1,self,1723467600000,,,,,,,
8,b8e2d526b3eb4fa9b82243aaf5ba75de,esri_oceans,1642711981000,True,1645733009000,,GEBCO_2021_v2_Shaded_Relief,GEBCO Shaded Relief 2021,Image Service,"['ArcGIS Server', 'Data', 'Image Service', 'Service', 'Tiled Imagery', 'Hosted Service']","<p>GEBCO is a global terrain model for ocean and land providing
elevation data in meters on a 15 arc-second interval grid. It is accompanied by
a Type Identifier (TID) Grid that gives information on the types of source data
that the GEBCO_2021 Grid is based. <a href='https://www.gebco.net/' rel='nofollow ugc'>More Info</a>.</p><p>What can you do with this layer?</p><ul><li>Use for visualization/emphasis of seafloor features.</li></ul><p></p><p>Layers associated with the GEBCO 2021 product:</p><p></p><ul><li><a href='https://www.arcgis.com/home/item.html?id=9b6764fda7c64cb587a9970608cdc118' target='_blank' rel='nofollow ugc noopener noreferrer'>GEBCO Type Identifier 2021</a><br /></li><li><a href='https://www.arcgis.com/home/item.html?id=4915fa5b342d412fa5188681751491eb' target='_blank' rel='nofollow ugc noopener noreferrer'>GEBCO Depth Zones 2021</a><br /></li><li><a href='https://arcgis.com/home/item.html?id=9ded2766515b44d7a8a58b03e62d5dc8' target='_blank' rel='nofollow ugc noopener noreferrer'>GEBCO 500m Contours 2021</a><br /></li><li><a href='https://www.arcgis.com/home/item.html?id=b8e2d526b3eb4fa9b82243aaf5ba75de' target='_blank' rel='nofollow ugc noopener noreferrer'>GEBCO Shaded Relief 2021</a><br /></li><li><a href='https://www.arcgis.com/home/item.html?id=a0a96b3cd6ee4089b5910b4c00e70d03' target='_blank' rel='nofollow ugc noopener noreferrer'>GEBCO Bathymetry 2021</a><br /></li></ul><p></p><p>Each of the layers can be found in this <a href='https://www.arcgis.com/home/item.html?id=635cc1a5b3f041be97f8e4d55e67ffe0' target='_blank' rel='nofollow ugc noopener noreferrer'>Web Map</a>.</p><div><br /></div>","['Bathymetry', 'Depth', 'GEBCO', 'Ocean', 'Marine', 'Seafloor']",General Bathymetric Chart of the Oceans (GEBCO) 2021 Shaded Relief.,thumbnail/thumbnail1644935040256.png,,"[[-180, -90], [180, 90]]",[],4326,GEBCO Compilation Group (2021) GEBCO 2021 Grid (doi:10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f),,"<p>The GEBCO Grid is placed in the public domain and may be
used free of charge. Use of the GEBCO Grid indicates that the user accepts the <a href='https://www.gebco.net/data_and_products/gridded_bathymetry_data/gebco_2019/grid_terms_of_use.html' rel='nofollow ugc'>conditions
of use and disclaimer information</a>.</p>

	<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' /> This work is licensed under the Esri Master License Agreement.<br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>",en-us,{},,https://tiledimageservices.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/GEBCO_2021_v2_Shaded_Relief/ImageServer,,public,0,[],[],[],,,[],False,8dea457e6d7f4227a15635e27c7b8212,True,0,0,0.0,56322,public_authoritative,P3ePLMYs2RVChkJx,100,livingatlas,-1,-1,self,1723464000000,,,,,,,
9,4ed0b58d07f8481db248faeccfdb7714,esri_oceans,1610044884000,True,1634005633000,,Chart_Index,Chart_Index,Feature Service,"['ArcGIS Server', 'Data', 'Feature Access', 'Feature Service', 'Metadata', 'Service', 'Singlelayer', 'Hosted Service']",,"['AIS', 'Vessel Traffic', 'Chart Index', 'unlisted']",Chart Index for Vessel Tracker App,thumbnail/thumbnail.png,,"[[-179.99998854118687, -78.3333332999628], [179.99998854118687, 81.59999999996582]]",[],102100,,,,en-us,,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/Chart_Index/FeatureServer,,public,0,[],[],[],,,[],False,5e5302cdd1794945b89bf48f2fa06a1a,True,0,0,0.0,54545,deprecated,,60,,-1,-1,self,1723467600000,,,,,,,
